glottocode,name,level,latitude,longitude
guda1245,Ngurlun,family,,
wamb1258,Wambayan,language,-17.496,135.683
binb1242,Binbinka,dialect,-16.55208,134.78661
guda1242,Wambaya-Gudanji,dialect,-17.42,134.73
nucl1328,Wambaya,dialect,,
guda1243,Gudanji,dialect,,
ngar1283,Ngarnka,language,-17.42,134.73
kuli1252,Kuliak,family,,
ngan1305,Ngangea-So,family,,
sooo1256,Soo,language,2.58367,34.7595
nyan1313,Nyang'i,language,3.4997,33.73651
ikkk1242,Ik,language,3.61407,34.2507
vile1241,Vilela,language,-27.4063,-58.9661
tuni1252,Tunica,language,30.9888,-92.5403
sent1261,Sentanic,family,,
nucl1631,Nuclear Sentanic,family,,
tabl1243,Tabla,language,-2.45368,140.396
yoka1243,Yokari,dialect,,
tepe1277,Tepera,dialect,,
yewe1238,Yewena-Yongsu,dialect,,
sent1262,Sentani-Nafri,family,,
nafr1241,Nafri,language,-2.65036,140.727
nucl1632,Sentani,language,-2.6013,140.512
west2602,West Sentani,dialect,,
cent2123,Central Sentani,dialect,,
east2518,East Sentani,dialect,,
demt1241,Demta,language,-2.38475,140.166
arut1244,Arutani,language,4.0673594,-62.8676118
urua1245,Uruak,dialect,,
awak1251,Awake,dialect,,
yetf1238,Yetfa,language,-4.05884,140.653
hata1242,Hatam-Mansim,family,,
hata1243,Hatam,language,-1.13531,134.037
uran1238,Uran,dialect,,
adih1238,Adihup,dialect,,
moii1254,Moi,dialect,,
miri1268,Miriei,dialect,,
tina1247,Tinam,dialect,,
mans1260,Mansim,language,-0.915054,134.011116
araf1243,Arafundi,family,,
uncl1510,Unclassified Arafundi,family,,
meak1234,Meakambut,language,-4.833,143.783
nanu1240,Nanubae-Imangae,language,-4.71731,143.937
iman1240,Imanmeri,dialect,,
nanb1234,Nanbay,dialect,,
yama1266,Yamandim,dialect,,
wamb1260,Wamblamas,dialect,,
anda1283,Andai,language,-4.96449,143.637
kaiy1240,Kaiyam,dialect,,
imbo1239,Imboin,dialect,,
kupi1239,Kupin,dialect,,
nama1271,Namata,dialect,,
anda1288,Andambit,dialect,,
awia1234,Awiakay-Karimba,language,-4.67314,143.71036
awia1235,Awiakay,dialect,,
kari1320,Karimba,dialect,,
tape1242,Tapei,language,-4.77763,143.337
awim1234,Awim,dialect,,
imbo1240,Imboin-Awim,dialect,,
movi1243,Movima,language,-13.8115,-65.6348
tamb1257,Tambora,language,-8.25,118.0
buna1274,Bunaban,family,,
buna1275,Bunaba,language,-17.8297,125.631
goon1238,Gooniyandi,language,-18.4073,126.351
teme1251,Temeinic,family,,
nucl1339,Temein,language,11.8275,29.3898
oron1234,Oroñe,dialect,,
ummk1234,Umm Kurum,dialect,,
tese1238,Tese,language,11.3885,29.5803
keig1243,Keiga Jirru,dialect,,
teis1234,Teisei,dialect,,
cuit1236,Cuitlatec,language,18.1,-100.5
muni1258,Muniche,language,-5.7441796,-76.426712
sout1293,South-Eastern Tasmanian,family,,
sout1439,South-Eastern-Tasmanian-Hinterland,language,-42.988576,146.885376
brun1235,Bruny Island,language,-43.373112,147.247925
taia1239,Taiap,language,-4.05047,144.506
chiq1253,Chiquitano,family,,
chiq1248,Lomeriano-Ignaciano Chiquitano,language,-16.769554,-61.817795
sanj1279,San Javier Chiquitano,dialect,,
sani1274,San Ignacio de Velazco Chiquitano,dialect,,
sant1429,Santiago Chiquitano,dialect,,
conc1244,Concepción Chiquitano,dialect,,
jesu1240,Jesuit Chiquitano,dialect,,
sanm1288,Migueleño Chiquitano,language,-16.669596,-60.960861
chim1301,Chimariko,language,41.0,-123.0
klam1254,Klamath-Modoc,language,42.5861,-121.704
yuru1243,Yurumanguí,language,3.436864,-76.522636
uruc1242,Uru-Chipaya,family,,
uruu1244,Uru,language,-16.72547,-68.97119
urum1251,Uru-Murato,dialect,,
urui1234,Uru-Iruito,dialect,,
tsim1260,Ts'imu,dialect,-15.813,-69.994
chip1262,Chipaya,language,-18.73951,-67.89633
west2604,West Bomberai,family,,
nucl1641,Nuclear West Bomberai,family,,
ihaa1241,Iha,language,-2.81013,132.271
baha1258,Baham,language,-3.10628,132.637
kara1499,Kalamang,language,-3.47037,132.678
nduu1242,Ndu,family,,
boik1241,Boikin,language,-3.68297,143.474
kuna1263,Kunai,dialect,,
isla1275,Island Boikin,dialect,,
cent2125,Central Boikin,dialect,,
munj1245,Munji (Papua New Guinea),dialect,,
west2606,West Boikin,dialect,,
east2525,East Boikin,dialect,,
kwus1239,Kwusaun,dialect,,
hari1250,Haripmor,dialect,,
ngal1300,Ngala,language,-4.26628,142.5
nucl1642,Nuclear Ndu,family,,
ambu1246,Ambulas-Hanga-Hundi,family,,
hang1263,Hanga Hundi,language,-3.90364,142.849
ambu1247,Ambulas,language,-3.7801,143.059
wing1239,Wingei,dialect,,
wose1244,Wosera-Kamu,dialect,,
wose1243,Wosera-Mamu,dialect,,
mapr1240,Maprik,dialect,,
mana1303,Manambu-Yalaku,family,,
yelo1243,Yalaku,language,-4.09907,142.808
mana1298,Manambu,language,-4.19082,142.862
sawo1235,Sawosic,family,,
bund1258,Burui-Gaikundi,family,,
buru1309,Burui,language,-4.03527,143.015
gaik1242,Gaikundi,language,-4.01718,143.139
sawo1234,Iatmulic,family,,
iatm1242,Iatmul,language,-4.30064,143.316
nyau1244,Nyaura,dialect,,
pali1278,Palimbei,dialect,,
sosk1235,Sos Kundi,language,-3.99024,143.396
keak1239,Keak,language,-3.98708,143.174
seng1284,Sengo,language,-4.02247,142.956
koiw1243,Koiwat,language,-4.03417,143.62
anga1289,Angan,family,,
anga1290,Angaataha,language,-7.15012,146.352
nucl1763,Nuclear Angan,family,,
sout3130,Ankave-Tainae-Akoye,family,,
anka1246,Ankave,language,-7.19444,145.754
sawu1242,Sawuve,dialect,,
miya1257,Miyatnu,dialect,,
anka1247,Ankai,dialect,,
wiya1238,Wiyagwa,dialect,,
buuu1245,Bu'u,dialect,,
wuna1250,Wunavai,dialect,,
tain1255,Tainae-Akoye,family,,
tain1253,Tainae,language,-7.40306,145.682
akoy1238,Akoye,language,-7.66067,145.669
yagw1240,Yagwoia,language,-7.14042,145.854
kapa1251,Kapau-Menya,family,,
hamt1247,Hamtai,language,-7.54975,146.227
went1242,Wenta,dialect,,
nucl1456,Nuclear Hamtai,dialect,,
howi1238,Howi,dialect,,
pmas1239,Pmasa'a,dialect,,
kain1268,Kaintiba,dialect,,
meny1245,Menya,language,-7.17425,146.071
nort3145,Wojokesic,family,,
kama1359,Kamasa-Susuami,family,,
kama1360,Kamasa,language,-6.97411,146.20797
susu1251,Susuami,language,-7.19275,146.561
safe1240,Safeyoka,language,-7.05417,146.09
aiew1238,Aiewomba,dialect,,
waja1260,Wajakes,dialect,,
kawa1276,Kawacha,language,-6.95411,146.20997
baru1271,Baruya-Simbari,family,,
baru1267,Baruya,language,-6.89261,145.818
nucl1457,Nuclear Baruya,dialect,,
usir1238,Usirampia,dialect,,
want1250,Wantakia,dialect,,
guli1243,Gulicha,dialect,,
simb1255,Simbari,language,-7.02259,145.603
coah1252,Coahuilteco,language,28.2589,-97.89
pomo1273,Pomoan,family,,
russ1265,Russian River and Eastern,family,,
east2545,Eastern Pomo,language,38.5647,-122.586
russ1266,Russian River,family,,
nort2965,Northern-Central Pomoan,family,,
cent2138,Central Pomo,language,38.90547,-123.66393
poin1246,Point Arena,dialect,,
ukia1238,Ukiah,dialect,,
hopl1239,Hopland,dialect,,
nort2966,Northern Pomo,language,39.1084,-123.209
guid1240,Guidiville,dialect,,
sher1259,Sherwood Valley,dialect,,
sout2983,Southern Pomoan-Kashaya,family,,
kash1280,Kashaya,language,38.5424,-123.08
sout2984,Southern Pomo,language,38.7643,-122.545
nort2967,Northeastern Russian River Pomo,language,39.2894,-122.509
sout2982,Southeastern Pomo,language,38.9354,-122.599
mixe1287,Mixed Language,family,,
warl1257,Warlpiri-Kriol,family,,
ligh1234,Light Warlpiri,language,,
germ1288,German-Yiddish-Romani-Rotwelsch,family,,
yeni1236,Yeniche,language,48.2483,8.47267
miao1234,Miao-Dong,family,,
sanq1234,Sanqiao,language,,
pers1247,Persian-Indic,family,,
casp1241,Caspian and eastern Persia Gypsy,language,,
maga1271,Magati,language,,
cent2304,Central-Southern Persian Gypsy,language,,
afgh1240,Afghanistan Gorbat,language,,
span1267,Spanish-Quechua,family,,
medi1245,Media Lengua,language,-1.04518,-78.5392
coto1254,Cotopaxi Media Lengua,dialect,,
salc1240,Salcedo Media Lengua,dialect,,
yacu1234,Yacubamba Media Lengua,dialect,,
imba1242,Imbabura Media Lengua,dialect,,
guri1251,Gurindji-Kriol,family,,
guri1249,Gurindji Kriol,language,-17.4484,130.833
aust1307,Austronesian,family,,
paiw1248,Paiwan,language,22.3271,120.806
west2572,Western Plains Austronesian,family,,
cent2106,Central Western Plains,family,,
babu1240,Babuza,language,24.0017,120.585
poav1237,Poavosa,dialect,,
favo1235,Favorlang,dialect,,
taok1237,Taokas,dialect,,
papo1239,Papora-Hoanya,language,24.324,120.577
nucl1579,Papora,dialect,,
hoan1238,Hoanya,dialect,,
thao1240,Thao,language,23.8333,120.93
saof1235,Sao (Formosan),dialect,,
braw1237,Brawbaw,dialect,,
shta1237,Shtafari,dialect,,
tsou1250,Tsouic,family,,
kana1292,Kanakanavu-Saaroa,family,,
kana1286,Kanakanavu,language,23.3235,120.887
saar1237,Saaroa,language,23.2632,120.711
tsou1248,Tsou,language,23.216,120.787
luht1237,Luhtu,dialect,,
tapa1257,Tapangu,dialect,,
iimu1237,Iimutsu,dialect,,
tfue1237,Tfuea,dialect,,
duht1237,Duhtu,dialect,,
ruka1240,Rukai,language,22.7738,120.844
maga1265,Maga,dialect,,
labu1252,Labuan,dialect,,
tana1287,Tanan,dialect,,
tona1238,Tona,dialect,,
mant1271,Mantauran,dialect,,
buda1252,Budai,dialect,,
bunu1267,Bunun,language,23.4116,121.025
nort2902,North Bunun,dialect,,
taki1253,Takituduh,dialect,,
taki1252,Takibakha,dialect,,
sout2930,Isbukun,dialect,,
cent2105,Central Bunun,dialect,,
tako1237,Takbanuaz,dialect,,
taki1251,Takivatan,dialect,,
puyu1239,Puyuma,language,22.643,120.996
nanw1237,Nanwang,dialect,,
pina1251,Pinan,dialect,,
atay1246,Atayalic,family,,
taro1264,Seediq,language,23.9032,121.358
teud1237,Te'uda,dialect,,
teke1282,Tekedaya,dialect,,
teru1237,Teruku,dialect,,
atay1247,Atayal,language,24.5209,121.388
sout3404,Southern Atayal,dialect,,
nucl1837,Nuclear Southern Atayal,dialect,,
suli1239,S'uli,dialect,,
matu1265,Matu'aw,dialect,,
kles1234,Klesan,dialect,,
plna1234,Plnagawan,dialect,,
nort3427,Northern Atayal,dialect,,
mayr1237,Matu'uwal,dialect,,
nucl1836,Nuclear Northern Atayal,dialect,,
skik1234,Skikun,dialect,,
sqol1237,Squliq,dialect,,
mala1545,Malayo-Polynesian,family,,
bima1248,Bima-Lembata,family,,
bima1247,Bima,language,-8.57376,118.445
tolo1256,Toloweri,dialect,,
mboj1237,Mbojo,dialect,,
nucl1518,Nuclear Bima,dialect,,
dong1302,Donggo,dialect,,
kolo1266,Kolo (Indonesia),dialect,,
flor1239,Flores-Lembata,family,,
lama1293,Lamaholot Barat,family,,
alor1247,Alorese,language,-8.20382,124.264
nort3216,North Lembata-Adonara,family,,
ilea1237,Ile Ape,language,-8.38636,123.442
nort2868,North Ile Ape,dialect,,
sout2897,South Ile Ape,dialect,,
adon1237,Adonara,language,-8.32027,123.159
east2470,East Adonara,dialect,,
dulh1234,Dulhi,dialect,,
kiwa1252,Kiwangona,dialect,,
west2544,West Adonara,dialect,,
waiw1246,Waiwadan,dialect,,
horo1249,Horowura,dialect,,
botu1239,Botun,dialect,,
east2469,East Solor,dialect,,
wata1254,Watan,dialect,,
lama1298,Lamakera,dialect,,
flor1242,Flores Lamaholot,family,,
lewo1244,Lewotobi,language,-8.54573,122.747
puka1244,Pukaunu,language,-8.405661,122.690759
lama1277,Lamaholot,language,-8.36439,122.803
west2543,Ritaebang,dialect,,
nucl1534,Ile Mandiri,dialect,,
west2542,West Lamaholot,dialect,,
tanj1250,Tanjung Bunga,dialect,,
lewo1248,Lewolaga-Bama,dialect,,
bama1253,Bama Lamaholot,dialect,,
lewo1249,Lewolaga,dialect,,
east2807,East Lamaholot,dialect,,
lewo1250,Lewolema-Waibalun,dialect,,
lewo1251,Lewolema,dialect,,
waib1246,Waibalun,dialect,,
baip1234,Baipito,dialect,,
lama1278,Peripheral Lembata,language,-8.53225,123.442
leba1240,Lebatukan,dialect,,
lama1300,Lamahora,dialect,,
merd1234,Merdeka,dialect,,
sout3267,South Coast Lembata,dialect,,
lama1299,Lamalera,dialect,,
mula1255,Mulan,dialect,,
kawe1241,Kawela,dialect,,
bela1261,Belang,dialect,,
wuak1234,Wuakerong,dialect,,
lama1294,Lamaholot Tengah,family,,
levu1240,Southeast Lembata,family,,
sout2896,Eastern Atadei,language,-8.49783,123.531
levu1239,Central Lembata-Lewokukun,language,-8.47094,123.44
cent2336,Central Lembata,dialect,,
kali1300,Kalikasa,dialect,,
nucl1535,Lewuka,dialect,,
lewo1247,Lewokukun,dialect,,
west2541,West Lembata,language,-8.49669,123.298
ming1256,Mingar,dialect,,
laba1242,Labalekan,dialect,,
lewo1245,Lewopenutu,dialect,,
lewo1246,Lewotala,dialect,,
imul1234,Imulolo,dialect,,
lama1297,Lamaholot Timur,family,,
lewo1243,Lewo Eleng,language,-8.35741,123.652
lama1279,Lamatuka,language,-8.39374,123.586
sika1262,Sika,language,-8.67302,122.38
tana1283,Tana Ai,dialect,,
sara1324,Sara Krowe,dialect,,
sikk1243,Sikka Natar,dialect,,
keda1252,Kedang,language,-8.23039,123.77
sang1334,Sangar,language,-8.376,118.29287
flor1240,Flores-Sumba-Hawu,family,,
sumb1242,Sumba-Hawu,family,,
sumb1243,Sumba,family,,
kodi1251,Kodi-Gaura,family,,
kodi1247,Kodi,language,-9.6373,119.114
kodi1248,Kodi Bokol,dialect,,
kodi1249,Kodi Bangedo,dialect,,
ngga1239,Garo (Sumba),language,-9.71011,119.25403
kamb1320,Central-East Sumbanese,family,,
mamb1305,Mamboru,language,-9.42302,119.55
kamb1299,Kambera,language,-9.88447,120.235
sout2885,Southern Sumba,dialect,,
melo1243,Melolo,dialect,,
lewa1240,Lewa,dialect,,
kana1287,Kanatang,dialect,,
mang1406,Mangili-Waijelo,dialect,,
nucl1521,Nuclear Kambera,dialect,,
umar1237,Umbu Ratu Nggai,dialect,,
cent2307,Central Sumbanese,family,,
anak1240,Anakalangu,language,-9.63425,119.605
wanu1241,Wanukaka,language,-9.69834,119.468
ruaa1237,Rua,dialect,,
nucl1520,Nuclear Wanukaka,dialect,,
bali1287,Baliledu-Buawa,language,-9.56709,119.49165
bali1288,Baliledu,dialect,,
pond1252,Pondok,dialect,,
wewe1239,Wewewa-Laboya,family,,
weje1237,Wewewa,language,-9.55099,119.349
weye1237,Weyewa,dialect,,
tana1282,Tana Righu,dialect,,
waib1245,Wai Bangga,dialect,,
laul1237,Lauli,dialect,,
velu1239,Ve Luri,dialect,,
laur1249,Laura,dialect,-9.4296,119.19
nucl1519,Nuclear Laura,dialect,,
mbuk1241,Mbukambero,dialect,,
lamb1273,Lamboya,language,-9.70434,119.344
hawu1234,Hawu-Dhao,family,,
dhao1237,Dhao,language,-10.8098,122.658
sabu1255,Hawu,language,-10.5522,121.847
mesa1246,Mesara,dialect,,
liae1237,Liae,dialect,,
raij1237,Raijua,dialect,,
timu1261,Timu,dialect,,
seba1248,Seba (Indonesia),dialect,,
flor1241,Flores Barat,family,,
mang1430,Manggaraiic,family,,
kepo1237,Kepo',language,-8.603241,120.775273
mang1436,Manggarai Khusus,family,,
mang1405,Manggarai,language,-8.55748,120.329
east2463,Eastern Manggarai,dialect,,
cent2073,Central Manggarai,dialect,,
west2537,Western Manggarai,dialect,,
west2536,West-Central Manggarai,dialect,,
riun1237,Riung,language,-8.60342,121.122
leng1264,Lengkosambi Dialect,dialect,,
nggo1235,Nggolombay Dialect,dialect,,
nggo1234,Nggolonio,dialect,,
remb1250,Rembong-Wangka,language,-8.53361,120.973
nucl1516,Rembong,dialect,,
wang1298,Wangka,dialect,,
waer1238,Waerana-Razong,family,,
rajo1237,Rajong,language,-8.658096,120.874418
waer1237,Kolor,language,-8.78645,120.70299
komo1261,Komodo,language,-8.64518,119.477
ngad1265,Central Flores-Paluqe,family,,
ngad1266,Central Flores,family,,
ngad1267,Ngada,family,,
ngad1261,Ngad'a,language,-8.79508,120.976
sout2884,South Ngada,dialect,,
baja1259,Bajawa,dialect,,
east2464,Eastern Ngad'a,dialect,-8.82745,121.121
cent2074,Central Ngada,dialect,-8.6778,121.04764
rong1269,Rongga,language,-8.84604,120.702
namu1249,Namut-Nginamanu,language,-8.578948,120.975435
ngin1248,Nginamanu,dialect,,
namu1248,Namut,dialect,,
ende1245,Eastern Central Flores,family,,
ende1247,Ende-Lio,family,,
lioo1240,Li'o,language,-8.68615,121.832
west2925,Western Li'o,dialect,,
east2840,Eastern Li'o,dialect,,
ende1246,Ende,language,-8.70998,121.555
nang1264,Nangapanda,dialect,,
mauk1239,Maukauro,dialect,,
nage1238,Nage-Keo,family,,
keoo1238,Kéo,language,-8.8704,121.256
nage1237,Nage,language,-8.70513,121.31
ngao1245,Nga'o,dialect,,
cent2355,Central Nage,dialect,,
east2838,Eastern Nage,dialect,,
palu1252,Palu'e,language,-8.32877,121.718
java1253,Javanesic,family,,
kawi1241,Kawi,language,-7.0,111.0
mode1251,Modern Javanese,family,,
teng1272,Tengger,language,-7.89069,113.037
osin1237,Osing,language,-8.25262,114.292
glob1245,Global Javanese,family,,
java1254,Javanese,language,-7.001,109.287
jawa1239,Jawa Halus,dialect,,
east2487,East Javanese,dialect,,
arek1234,Arekan,dialect,,
mala1493,Malang-Pasuruan,dialect,,
sura1245,Surabaya,dialect,,
jomb1234,Jombang,dialect,,
cent2331,Central Javanese,dialect,,
sema1271,Semarang-Demak-Kudus-Jepara,dialect,,
sema1270,Semarang (Central Javanese),dialect,,
east2801,Kudus,dialect,,
temb1273,Mataraman,dialect,,
kedu1234,Kedu,dialect,,
bage1239,Bagelen,dialect,,
solo1259,Solo,dialect,,
blor1234,Blora,dialect,,
madi1264,Madiunan,dialect,,
west2565,West Javanese,dialect,,
indr1248,Indramayu,dialect,,
bant1291,Banten (West Javanese),dialect,,
bany1247,Banyumas,dialect,,
pasi1258,Pesisir Lor,dialect,,
pema1234,Pemalang,dialect,,
peka1244,Pekalongan,dialect,,
tega1246,Tegal,dialect,,
cire1240,Cirebon Javanese,dialect,-6.74533,108.538
newc1244,New Caledonian Javanese,language,-22.3001,166.445
cari1276,Caribbean Javanese,language,5.62695,-54.6305
nort2829,Northwest Sumatra-Barrier Islands,family,,
gayo1244,Gayo,language,4.3733,97.3456
doro1264,Dorot,dialect,,
tamp1253,Tampur,dialect,,
serb1268,Serbodjadi,dialect,,
boba1247,Bobasan,dialect,,
toba1265,Batakic,family,,
sout3166,Southern Batak,family,,
sout2849,Tobaic,family,,
angk1248,Angkola-Mandailing,family,,
bata1290,Batak Angkola,language,1.66127,99.60248
bata1291,Batak Mandailing,language,0.85805,99.898
bata1289,Batak Toba,language,2.35498,99.1761
bata1288,Batak Simalungun,language,3.04372,98.9083
nort2831,Northern Batak,family,,
bata1293,Batak Karo,language,2.12787,98.2517
sing1240,Singkil,dialect,,
bata1294,Batak Dairi,language,2.51438,98.2427
bata1292,Batak Alas-Kluet,language,3.4293,97.8123
alas1254,Alas,dialect,,
nucl1463,Nuclear Barrier Islands,family,,
ment1248,Mentawai-Nias-Sikule,family,,
nias1241,Nias-Sikule,family,,
siku1242,Sikule,language,2.69113,95.9636
leko1247,Lekon,dialect,,
tapa1258,Tapah,dialect,,
nias1242,Nias,language,0.90691,97.4961
batu1257,Nias Selatan,dialect,,
nucl1464,Nias Utara,dialect,,
cent2397,Central Nias,dialect,,
ment1249,Mentawai,language,-1.41092,98.9401
sout2848,South Siberut,dialect,,
sipu1239,Sipura,dialect,,
sima1259,Simalegi,dialect,,
saum1237,Saumanganja,dialect,,
paga1237,Pagai,dialect,,
sila1249,Silabu,dialect,,
taik1253,Taikaku,dialect,,
nort2830,North Siberut,dialect,,
saka1288,Sakalagan,dialect,,
sime1241,Simeulue,language,2.50288,96.2757
bata1315,Batanic,family,,
ibat1238,Ibatan,language,18.9398,121.909
sout2903,Southern Ivatan,dialect,,
babu1242,Babuyan,dialect,19.48,121.96
basc1238,Basco Ivatan,dialect,,
yami1257,Yami-Itbayat,family,,
ivat1242,Itbayat,language,20.77,121.85
yami1254,Yami,language,22.055,121.544
nort2873,North Mangyan,family,,
alan1249,Alangan,language,13.0982,121.022
iray1237,Iraya,language,13.381,120.65
pamb1244,Pambuhan,dialect,,
abra1237,Abra-De-Ilog,dialect,,
alag1243,Alag-Bako,dialect,,
pagb1237,Pagbahan,dialect,,
sant1417,Santa Cruz (Iraya),dialect,,
pala1345,Palauan-Calavite,dialect,,
tady1237,Tadyawan,language,13.0211,121.305
bali1277,Bali-Sasak-Sumbawa,family,,
bali1278,Balinese,language,-8.35714,115.075
high1274,Highland Bali,dialect,,
nusa1244,Nusa Penida,dialect,,
lowl1258,Lowland Bali,dialect,,
sasa1248,Sasak-Sumbawa,family,,
sasa1249,Sasak,language,-8.58349,116.284
kuto1237,Kuto-Kute,dialect,,
nget1237,Ngeto-Ngete,dialect,,
mria1237,Mriak-Mriku,dialect,,
meno1251,Meno-Mene,dialect,,
ngen1254,Ngeno-Ngene,dialect,,
sumb1241,Sumbawa,language,-8.71919,117.472
tani1260,Tanimbar-Bomberai,family,,
east2900,Eastern Bomberai,family,,
bomb1263,Nuta,family,,
argu1237,Arguni,language,-2.645798,132.5556
erok1237,Erokwanas,language,-2.83746,132.705
gora1269,Goras,dialect,,
dare1243,Darembang,dialect,,
bedo1237,Bedoanas,language,-2.74438,132.566
nabi1238,Nabi-Irarutu,family,,
irar1238,Irarutu,language,-2.94438,133.586
kuri1260,Nabi,language,-2.80683,134.098
teor1239,Teor-Kur,family,,
teor1240,Teor,language,-4.74159,131.737
gaur1240,Gaur Kristen,dialect,,
uttt1237,Ut,dialect,,
kurr1245,Kur,language,-5.34077,131.986
keit1238,Nuclear Tanimbar-Bomberai,family,,
yamd1241,Yamdena-Onin,family,,
onin1244,Oninic,family,,
urua1244,Uruangnirin,language,-3.45498,132.745
onin1245,Onin,language,-2.75976,132.062
sepa1243,Sepa,dialect,,
ogar1237,Ogar,dialect,,
pati1239,Patipi,dialect,,
niku1237,Nikuda,dialect,,
seka1247,Sekar,language,-2.65849,132.469
yamd1240,Yamdena,language,-7.73722,131.44
sout2891,South Yamdena,dialect,,
nort2863,North Yamdena,dialect,,
keif1237,Kei-Fordata,family,,
keii1239,Kei,language,-5.63948,133.02
keik1237,Kei Kecil,dialect,,
tani1256,Tanimbar Kei,dialect,,
taam1237,Ta'am,dialect,,
taya1252,Tayando,dialect,,
keib1237,Kei Besar,dialect,,
ford1242,Fordata,language,-7.28902,131.511
sera1262,Sera (Indonesia),dialect,,
ford1244,Fordata-Larat II,dialect,,
ford1243,Fordata-Larat I,dialect,,
molo1261,Molo (Indonesia),dialect,,
sund1252,Sundanese,language,-6.89708,107.106
prin1241,Priangan,dialect,,
band1361,Bandung Sundanese,dialect,,
tasi1238,Tasikmalaya,dialect,,
sume1243,Sumedang,dialect,,
garu1248,Garut,dialect,,
ciam1234,Ciamis,dialect,,
sund1255,Old Sundanese,dialect,-7.1,108.3
bant1285,Banten (Sundanese),dialect,,
badu1237,Badui,dialect,-6.35359,106.177
pand1268,Pandeglang,dialect,-6.3285,106.11372
sera1273,Serang Sundanese,dialect,,
tang1385,Tangerang Sundanese,dialect,-6.2001674,106.4671383
nort3412,North Coast Sundanese,dialect,,
bino1239,Binong Sundanese,dialect,,
bogo1241,Bogor,dialect,,
kara1518,Karawang Sundanese,dialect,,
cire1239,Mid-East Sundanese,dialect,,
indr1249,Indramayu Sundanese,dialect,,
breb1234,Brebes,dialect,,
maja1243,Majalengka Sundanese,dialect,,
kuni1271,Kuningan Sundanese,dialect,,
cire1241,Cirebon Sundanese,dialect,,
